var name,label,var type,dataset
V0001,"V0001- Respondent ID (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0001B,"V0001b - Respondent ID (anonymized)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0002,"V0002 - acc_date: Interview Date (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0003,"V0003 - Review: Completed Interview Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0004,"V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0005,"V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0006,"V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0007,"V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0008,"V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0009,"V0009 - DEMO1_Mo: Date of birth (mo) (suppressed)DEMO1. What is your date of birth?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0010,"V0010 - DEMO1_Day: Date of birth (day) (suppressed)DEMO1. What is your date of birth?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0011,"V0011 - DEMO1_Yr: Date of birth (yr) (suppressed)DEMO1. What is your date of birth?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0012,"V0012 - DEMO1a: Calculated age correct?DEMO1a. That means you are currently [AGEFILL] years old. Is that correct?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0013,"V0013 - DEMO1b: Age reported (if calculated age incorrect)DEMO1b. How old are you?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0014,"V0014 - DEMO1c: 18 years or older?DEMO1c. As of today, [date of interview] are you 18 years old or older?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
